"Year","species_name","latin_name","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1996","Gullkarfi","Sebastes norvegicus","200","274","407","453","470","513","658","623","705","763","809","814","851","1328","906","1332","1065","827","921","1247","1477","1143","1101","1389","1149"
"1997","Gullkarfi","Sebastes norvegicus","250","288","395","442","493","529","573","642","725","732","751","779","945","809","999","894","1138","993","1270","1327","1030","1064","1049","1078","2119"
"1998","Gullkarfi","Sebastes norvegicus","230","324","357","454","483","502","581","584","673","669","890","801","820","974","882","1221","876","1091","1504","1107","1342","1371","1400","914","1320"
"1999","Gullkarfi","Sebastes norvegicus","293","380","402","424","464","538","578","579","589","726","717","777","784","803","870","740","904","920","1185","1040","863","989","1102","974","1466"
"2000","Gullkarfi","Sebastes norvegicus","238","305","341","381","415","481","547","602","623","653","693","914","877","806","960","1260","911","1051","1138","1449","1172","1495","1291","1321","1692"
"2001","Gullkarfi","Sebastes norvegicus","252","325","389","421","467","469","509","569","619","655","680","818","787","898","892","993","804","1016","1162","2526","1511","1152","889","1736","1751"
"2002","Gullkarfi","Sebastes norvegicus","288","364","420","465","492","491","515","562","634","695","634","723","811","799","902","906","862","1153","1257","640","1325","1442","1560","916","1274"
"2003","Gullkarfi","Sebastes norvegicus","250","306","399","432","446","493","524","532","622","631","719","742","717","726","1006","1162","1114","1022","1450","1549","1176","1380","972","1360","1288"
"2004","Gullkarfi","Sebastes norvegicus","273","324","387","438","491","495","563","557","560","639","706","660","733","761","805","844","879","943","906","1107","966","1539","1214","1523","1251"
"2005","Gullkarfi","Sebastes norvegicus","301","329","400","451","486","508","542","570","581","619","732","692","810","802","741","774","894","1026","1018","1010","1632","2867","1573","2858","1156"
"2006","Gullkarfi","Sebastes norvegicus","251","369","435","472","488","541","554","582","618","700","657","712","756","845","884","774","722","941","1093","971","1198","934","1125","779","1101"
"2007","Gullkarfi","Sebastes norvegicus","278","369","453","488","508","548","618","616","630","715","683","711","738","786","660","778","789","821","826","1305","1328","1273","1737","854","1272"
"2008","Gullkarfi","Sebastes norvegicus","282","320","395","466","499","515","547","653","621","644","671","644","731","736","744","904","934","831","834","737","1065","918","1021","788","1164"
"2009","Gullkarfi","Sebastes norvegicus","275","359","423","441","491","517","595","591","626","626","706","673","732","734","810","855","969","848","775","1032","1010","792","1320","748","969"
"2010","Gullkarfi","Sebastes norvegicus","253","364","448","480","522","573","616","662","665","712","706","780","827","722","804","913","1122","868","1183","936","1108","1286","907","865","1032"
"2012","Gullkarfi","Sebastes norvegicus","267","381","459","504","531","579","635","641","692","709","712","798","773","776","820","817","810","805","775","963","884","835","1006","1086","929"
"2013","Gullkarfi","Sebastes norvegicus","320","363","481","524","579","628","654","667","690","721","778","735","790","757","778","813","902","831","854","894","907","941","807","1000","963"
"2014","Gullkarfi","Sebastes norvegicus","233","413","486","506","550","604","642","670","680","744","744","760","754","829","866","789","854","858","833","833","986","958","942","921","1055"
"2015","Gullkarfi","Sebastes norvegicus","271","464","482","523","571","633","673","672","717","713","751","778","769","765","837","771","921","904","1049","926","861","865","800","953","1046"
"2016","Gullkarfi","Sebastes norvegicus","299","425","514","538","584","622","665","686","692","717","705","727","763","774","709","805","884","826","842","849","836","910","843","831","897"
"2017","Gullkarfi","Sebastes norvegicus","239","456","493","539","583","629","655","707","745","738","749","714","792","809","768","768","848","749","813","868","831","875","779","796","1011"
"2018","Gullkarfi","Sebastes norvegicus","412","374","501","563","607","646","695","730","767","802","802","768","774","815","801","811","759","783","887","867","884","860","848","852","937"
"2019","Gullkarfi","Sebastes norvegicus","194","481","514","535","604","652","692","716","744","778","781","818","793","803","782","795","742","767","797","840","856","809","827","803","997"
"2020","Gullkarfi","Sebastes norvegicus","328","316","626","623","704","738","757","805","836","851","885","924","904","861","940","865","1003","886","887","951","880","867","1200","916","1011"
"2021","Gullkarfi","Sebastes norvegicus","440","593","515","650","647","733","762","823","849","866","878","904","939","907","907","900","859","892","861","832","785","890","1032","891","925"
